endTime,artistName,trackName,msPlayed,weekday,hour
2019-01-05 19:28:00,The Black Keys,Next Girl,198266,Saturday,19
2019-01-05 19:31:00,The Black Keys,Tighten Up,211040,Saturday,19
2019-01-05 19:35:00,The Black Keys,Howlin' For You,191800,Saturday,19
2019-01-05 19:38:00,The Black Keys,She's Long Gone,185973,Saturday,19
2019-01-05 19:40:00,The Black Keys,Black Mud,129453,Saturday,19
2019-01-05 20:23:00,The Black Keys,The Only One,186810,Saturday,20
2019-01-06 10:55:00,Electric Light Orchestra,Ticket to the Moon,247400,Sunday,10
2019-01-06 10:58:00,The Kooks,Bad Habit,214390,Sunday,10
2019-01-06 11:03:00,The Black Keys,I Got Mine - Live 6music Hub Session,286508,Sunday,11
2019-01-06 11:05:00,The Black Keys,Howlin' For You - Live,70301,Sunday,11
2019-01-06 11:42:00,The Black Keys,She's Long Gone - Live,103623,Sunday,11
2019-01-06 12:32:00,Apoptygma Berzerk,Burning Heretic (Cycles Of Absolute Truths Mix by Ancient Methods),54560,Sunday,12
2019-01-06 17:17:00,The Black Keys,Too Afraid To Love,204733,Sunday,17
2019-01-06 17:21:00,The Black Keys,Ten Cent Pistol,269306,Sunday,17
2019-01-06 17:25:00,The Black Keys,Sinister Kid,224533,Sunday,17
2019-01-06 18:22:00,The Black Keys,The Go Getter,144956,Sunday,18
2019-01-06 18:28:00,Queen,Bohemian Rhapsody - 2011 Mix,354320,Sunday,18
2019-01-06 18:32:00,Queen,Another One Bites The Dust - Remastered 2011,214653,Sunday,18
2019-01-06 18:36:00,Queen,Don't Stop Me Now - 2011 Mix,209413,Sunday,18
2019-01-06 18:39:00,The Clash,The Guns of Brixton - Remastered,192440,Sunday,18
2019-01-06 18:40:00,Talking Heads,The Great Curve - 2005 Remaster,40380,Sunday,18
2019-01-06 18:44:00,The Kooks,Bad Habit,221413,Sunday,18
2019-01-06 18:47:00,Arctic Monkeys,Stop The World I Wanna Get Off With You,191040,Sunday,18
2019-01-06 18:47:00,Foals,Hummer,20110,Sunday,18
2019-01-06 18:51:00,The Kooks,All the Time,246736,Sunday,18
2019-01-06 18:56:00,The Kooks,Believe,254341,Sunday,18
2019-01-06 18:57:00,The Kooks,Fractured and Dazed,66001,Sunday,18
2019-01-06 19:01:00,The Kooks,All the Time,246736,Sunday,19
2019-01-06 19:05:00,The Kooks,Believe,254341,Sunday,19
2019-01-06 19:06:00,The Kooks,Fractured and Dazed,41221,Sunday,19
2019-01-06 19:10:00,Unknown Mortal Orchestra,So Good at Being in Trouble,230146,Sunday,19
2019-01-06 21:28:00,The Doors,Love Me Two Times,10565,Sunday,21
2019-01-06 21:32:00,The Doors,Love Me Two Times,195106,Sunday,21
2019-01-06 21:37:00,Grizzly Bear,Two Weeks,27373,Sunday,21
2019-01-06 21:37:00,Them Crooked Vultures,No One Loves Me and Neither Do I,310376,Sunday,21
2019-01-07 01:07:00,Simon & Garfunkel,Bridge Over Troubled Water,456919,Monday,1
2019-01-07 01:10:00,Simon & Garfunkel,El Condor Pasa (If I Could),187040,Monday,1
2019-01-07 01:10:00,Simon & Garfunkel,Cecilia,13855,Monday,1
2019-01-07 08:33:00,Simon & Garfunkel,Bridge Over Troubled Water,303722,Monday,8
2019-01-07 08:36:00,Simon & Garfunkel,El Condor Pasa (If I Could),187040,Monday,8
2019-01-07 08:39:00,Simon & Garfunkel,Cecilia,174826,Monday,8
2019-01-07 09:01:00,Simon & Garfunkel,Keep the Customer Satisfied,90688,Monday,9
2019-01-07 14:16:00,Simon & Garfunkel,El Condor Pasa (If I Could),187040,Monday,14
2019-01-07 14:21:00,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",244026,Monday,14
2019-01-07 14:25:00,Simon & Garfunkel,Bridge Over Troubled Water,293120,Monday,14
2019-01-07 14:32:00,Cream,Badge,124453,Monday,14
2019-01-07 22:02:00,Arctic Monkeys,Balaclava,171226,Monday,22
2019-01-07 22:02:00,Queens of the Stone Age,Un-Reborn Again,27720,Monday,22
2019-01-07 22:05:00,Arctic Monkeys,Fake Tales Of San Francisco,177946,Monday,22
2019-01-08 01:26:00,Arctic Monkeys,Leave Before The Lights Come On,245312,Tuesday,1
2019-01-08 09:38:00,Arctic Monkeys,Leave Before The Lights Come On,321907,Tuesday,9
2019-01-08 09:42:00,Arctic Monkeys,Arabella,234883,Tuesday,9
2019-01-08 10:18:00,Arctic Monkeys,My Propeller,187479,Tuesday,10
